,Code,Economy,HDI,Corrected_HDI,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic-school Entrepreneurial Education and training,Post-school entrepreneurial education and training,R&D Transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Rating,Perceived Capabilities ,Perceived Opportunities ,Fear of Failure Rate ,Entrepreneurial Intention ,Know Startup Entrepreneur Rate ,Entrepreneurship as Desirable Career Choice,Corre_Entr,High Status Successful Entrepreneurship ,Corr_High status,Media Attention for Entrepreneurship ,corr_media,Nascent Entrepreneurship Rate ,New Business Ownership Rate ,Total early-stage Entrepreneurial Activity (TEA),Established Business Ownership Rate ,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,Total early-stage Entrepreneurial Activity for Male Working Age Population,Total early-stage Entrepreneurial Activity for Female Working Age Population,Informal Investors Rate,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,New Product early-stage Entrepreneurial Activity,International Orientation early-stage Entrepreneurial Activity,(HDI)^2,Corrected_HDI2,Log(Rating),Predicted,Predicted_rating
0,54,argentina,0.641,0.641,3.07,2.96,1.93,3.66,3.02,4.75,3.7,4.72,5.6,3.76,5.8,4.86,22.2,61.62,45.88,25.8,29.14,33.26,62.06,62.06,52.91,52.91,66.65,66.65,11.65,6.29,17.74,9.49,29.76,50.68,19.87,15.79,5.97,22.03,39.33,1.16,0.410881,0.410881,3.100092289,3.40617782,30.14978584
1,61,australia,0.858,0.858,3.95,3.65,4.21,4.19,3.7,4.2,3.65,5.06,4.71,4.68,6.48,4.75,72.5,48.21,48.87,41.67,14.39,33.79,56.38,56.38,70.05,70.05,72.32,72.32,7.34,5.75,12.79,8.72,12.73,66.01,15.48,10.1,4.12,34.66,44.76,15.95,0.736164,0.736164,4.283586562,4.20597086,67.08569688
2,1246,barbados,,0.6805,3.05,3.74,2.47,3.5,2.61,4.54,2.87,4.75,4.42,3.64,6.11,4.26,34.5,75.03,54.97,14.74,21.61,34.63,69.55,69.55,69.78,69.78,61.64,61.64,11.48,10.66,21.05,14.09,15.23,56.45,22.42,19.77,5.73,13.21,21.73,9.17,0,0.46308025,3.540959324,3.472522157,32.21789864
3,32,belgium,0.82,0.82,5.28,6.48,3.17,4.76,3.14,5.37,4.55,6.23,4.78,5.09,6.44,4.11,63,31.89,40.26,48.48,10.85,17.18,54.18,54.18,54.51,54.51,54.66,54.66,4.53,1.96,6.24,3.75,27.46,44.3,7.5,4.98,2.75,23.05,56.04,22.88,0.6724,0.6724,4.143134726,4.201340329,66.7757726
4,267,botswana,0.431,0.431,4.05,4.16,4.07,4.1,4.15,4.91,3.82,4.18,4.93,3.51,4.98,4.66,34.4,74.11,57.81,18.86,61.85,49.1,70.12,70.12,82.01,82.01,76.21,76.21,23.01,11.89,33.23,4.6,35.56,50.06,36.58,30.1,10.33,34.17,30.94,6.18,0.185761,0.185761,3.538056564,3.173561171,23.89241801
5,55,brazil,0.519,0.519,3.93,3.67,2.23,3.42,2.11,3.84,2.9,4.2,4.98,3.49,4.71,3.86,20.1,58.27,42.38,44.74,24.37,51.67,77.66,77.66,80.08,80.08,69.58,69.58,6.7,14.9,20.98,18.89,42.87,47.79,21.65,20.33,1.57,9.06,28.39,0,0.269361,0.269361,3.000719815,2.947211089,19.05274316
6,359,bulgaria,0.683,0.683,4.36,2.93,4.75,3.41,2.59,4.19,3.59,5.21,3.58,3.91,6.76,3.5,22.7,35.17,15.84,33.28,5.34,39.79,57.53,57.53,71.51,71.51,49.28,49.28,1.95,1.51,3.46,5.44,33.42,29,4.01,2.9,2.5,8.78,14.45,7.93,0.466489,0.466489,3.122364924,3.139290029,23.0874696
7,226,burkina faso,0.215,0.215,3.56,3.73,4.68,4,1.88,4.55,2.91,4.89,4.39,3.78,4.77,4.67,11.9,78.05,58.1,17.89,45.87,68.98,73.79,73.79,83.38,83.38,67.3,67.3,19.74,11.23,29.75,27.78,27.5,37.26,33.59,26.65,8.06,14.47,26.03,5.43,0.046225,0.046225,2.4765384,2.638476727,13.99187392
8,237,cameroon,0.344,0.344,3.57,4.52,3.83,4.39,3,4.65,3.64,5.16,4.08,4.02,5.07,4.66,16,73.09,60.74,23.9,33.09,61.4,61.13,61.13,64.82,64.82,64.51,64.51,16.48,10.01,25.37,12.85,29.77,37.5,27.19,23.64,15.6,15.3,31.58,6.97,0.118336,0.118336,2.772588722,2.859890817,17.45962053
9,101,canada,0.829,0.829,5.23,4.73,5.17,4.97,4.13,5.27,4.32,6.3,3.8,4.88,6.97,5.92,75.6,50.49,53.19,39.47,11.64,31.6,,0.6805,,0.6805,,0.6805,9.74,5.49,14.72,8.85,13.51,55.92,15.99,13.48,7.12,29.12,57.22,27.93,0.687241,0.687241,4.325456283,4.208502744,67.25576527
10,56,chile,0.652,0.652,3.52,4.58,5.37,5.41,2.37,4.92,3.46,4.67,3.37,3.78,7.46,5.14,58.8,65.72,57.35,28.06,50.03,43.74,69.65,69.65,64.89,64.89,60.37,60.37,16.52,9.82,25.93,8.16,25.29,61.18,29.73,22.14,14.95,38.84,88.74,13.22,0.425104,0.425104,4.074141855,4.027590494,56.12551346
11,86,china,0.534,0.534,4.86,5.78,4.44,4.38,2.59,5.03,4.09,4.34,7.24,4.27,6.92,4.98,36.3,27.42,31.71,39.96,19.52,50.35,65.94,65.94,77.62,77.62,77.23,77.23,6.81,6.31,12.84,3.12,34.7,38.87,15.34,10.25,12.97,42.29,71.89,5.46,0.285156,0.285156,3.591817741,3.663059351,38.98041541
