nTrees,Scores
1,0.767857142857
2,0.357142857143
3,0.696428571429
4,0.678571428571
5,0.678571428571
6,0.642857142857
7,0.75
8,0.714285714286
9,0.714285714286
10,0.660714285714
11,0.625
12,0.696428571429
13,0.714285714286
14,0.75
15,0.696428571429
16,0.696428571429
17,0.696428571429
18,0.678571428571
19,0.75
20,0.696428571429
21,0.785714285714
22,0.678571428571
23,0.732142857143
24,0.732142857143
25,0.714285714286
26,0.678571428571
27,0.732142857143
28,0.714285714286
29,0.696428571429
30,0.732142857143
