Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
"Williamson, Greer and Clark",SaaS,Australia,Seed,304706.0,2016-07-03,386
"Bradford, Green and Miranda",Finance,India,IPO,641212096.0,2025-08-10,474
Kelly LLC,AI,UK,Series A,4149256.0,2024-11-13,220
Riggs-Wells,Health,France,IPO,940259054.0,2018-10-03,14
"Walters, Edwards and Welch",E-commerce,France,Seed,419487.0,2021-12-27,137
"Martinez, Miller and Valdez",AI,UK,Series A,4356688.0,2025-09-15,482
Garcia Inc,Education,USA,Series B,48615111.0,2017-09-10,455
"Castro, Brown and Anderson",Finance,Netherlands,IPO,246306446.0,2019-07-26,357
"Thompson, Orozco and Johnson",Gaming,Germany,Seed,387248.0,2024-06-27,214
"Drake, Nelson and Smith",SaaS,USA,Series C,171659162.0,2020-02-21,360
Page-Brooks,SaaS,Canada,Series B,25021898.0,2016-01-26,311
Perez PLC,SaaS,Canada,Series B,15381185.0,2021-05-22,143
Mcintyre-Gonzalez,SaaS,India,Seed,108337.0,2019-03-05,145
Rice-Krueger,AI,UK,IPO,603891616.0,2024-12-02,263
Adams-Burke,Education,Canada,Series B,32978521.0,2025-07-17,28
Gross-Vazquez,SaaS,France,Seed,321493.0,2023-09-05,120
Deleon-Morrison,Education,Germany,Seed,384290.0,2023-04-21,229
Hunt PLC,Finance,Australia,IPO,445137464.0,2020-03-24,168
"Edwards, Fisher and Johnson",AI,Netherlands,Series A,2678391.0,2019-12-31,255
Santiago Group,Tech,USA,Series A,1993382.0,2017-05-28,96
Schaefer-Walker,Education,Australia,IPO,503448862.0,2018-07-17,177
Schwartz-Hansen,AI,USA,IPO,915449700.0,2021-06-05,113
Velazquez Inc,Health,India,Seed,413097.0,2024-10-06,10
Davis Inc,Health,Germany,IPO,969794492.0,2020-07-28,399
Thornton Group,Gaming,Germany,Series A,2823288.0,2024-02-14,84
"Hicks, Walters and Crawford",Finance,France,Series B,30785233.0,2022-08-09,312
"Fuentes, Bright and Rice",Tech,Germany,IPO,452812896.0,2019-02-08,178
"Harris, Hicks and Martinez",Gaming,Australia,Series C,54326520.0,2017-09-03,373
Lowe-Lawson,Tech,India,Series A,3172004.0,2019-12-21,326
Hogan-Martin,Health,France,Series C,171156441.0,2019-08-18,105
Porter Inc,E-commerce,Germany,Seed,434321.0,2016-01-28,314
Salinas-Wilson,SaaS,India,Series B,20213168.0,2016-12-23,261
Gates-Hall,Education,USA,Series B,49164978.0,2022-09-15,192
"Franco, Jenkins and Davis",Health,UK,IPO,954481067.0,2016-03-02,219
Kelly-Perez,Tech,Australia,Series B,38022554.0,2022-06-09,215
Ochoa Group,SaaS,Canada,IPO,875505221.0,2024-04-09,70
Greer-Evans,E-commerce,Germany,Series B,31185367.0,2024-11-26,243
Mccarthy-Scott,Gaming,India,IPO,492204156.0,2023-01-07,381
Campbell PLC,Tech,UK,Series C,98229893.0,2023-08-21,8
Torres-Rivera,E-commerce,Australia,Series A,5487164.0,2023-11-21,254
Williams-Palmer,Education,France,Series C,92642917.0,2021-03-17,252
"Williamson, Marshall and Miller",Education,Germany,Series B,28296395.0,2024-12-23,124
Miller-Hunter,AI,France,Series C,195103070.0,2017-11-04,245
Vasquez Ltd,Education,Netherlands,IPO,772675997.0,2016-08-17,347
"Chase, Garcia and Collins",SaaS,USA,Seed,356895.0,2016-11-15,100
Kelly-Mata,Tech,Netherlands,Series C,165091418.0,2017-12-26,55
"Clark, Wallace and Lewis",Education,UK,Series B,33194821.0,2016-03-06,317
Cox-Ryan,Gaming,Germany,Series A,7873154.0,2021-12-08,395
Freeman Inc,Education,USA,Seed,309408.0,2024-08-30,253
Wright-Turner,Gaming,UK,Series C,71152189.0,2022-05-15,336
"Palmer, Branch and Ward",E-commerce,Canada,Series B,10273549.0,2023-07-25,369
Castaneda PLC,E-commerce,India,Series C,76353123.0,2019-02-27,274
Higgins-Smith,E-commerce,Netherlands,Series A,3587231.0,2019-01-13,476
Johnson-Farrell,SaaS,France,Series C,179672205.0,2017-06-10,401
"Gonzales, Walton and Webb",Finance,Germany,Series A,1023276.0,2021-07-23,349
"Green, Macdonald and Green",E-commerce,Australia,Series C,140708501.0,2021-02-05,438
Snyder and Sons,Finance,Canada,Series A,8186900.0,2017-12-03,395
Wood and Sons,Gaming,UK,Seed,460470.0,2021-03-16,184
Taylor-Fernandez,Gaming,Netherlands,IPO,517461857.0,2017-07-12,438
Richardson Group,Tech,France,IPO,518072574.0,2022-03-03,42
"Jackson, Brown and Francis",Tech,Canada,Series C,110010644.0,2017-04-22,390
"Chapman, Gilbert and Fitzgerald",Health,Canada,Seed,80717.0,2020-10-24,257
Smith-Arnold,Finance,India,IPO,611926058.0,2019-07-30,249
Peterson LLC,E-commerce,Canada,IPO,845755100.0,2016-11-16,241
"Larson, Norris and Moore",AI,USA,Seed,129632.0,2019-11-09,345
Bradford-Russell,SaaS,Canada,Seed,160404.0,2016-06-15,160
Snyder Ltd,Tech,UK,Series A,9605245.0,2021-03-12,312
"Flores, Ritter and Walker",Tech,France,Seed,420976.0,2024-02-04,65
Duncan Ltd,AI,France,Series B,32753106.0,2019-02-15,96
Smith LLC,Education,UK,Series B,17314923.0,2016-01-06,199
"Sandoval, Campbell and Green",Tech,USA,Series B,39116617.0,2021-06-16,5
"Munoz, Avery and Jacobson",SaaS,Netherlands,IPO,213927473.0,2023-03-07,372
Matthews-Willis,Finance,Netherlands,Series A,7874060.0,2020-09-18,52
"Davis, Farmer and Curtis",Health,UK,Series A,2611381.0,2019-01-30,360
Stark and Sons,Gaming,Netherlands,IPO,872233528.0,2016-07-02,319
Johnson and Sons,E-commerce,France,Series A,5856960.0,2024-03-20,320
Smith-Wu,Health,USA,Series B,32373997.0,2019-03-10,322
"Tate, Mclean and Simpson",AI,UK,Seed,334120.0,2022-04-09,188
Stafford and Sons,E-commerce,UK,Series C,148414162.0,2021-01-22,455
Nichols Ltd,Gaming,USA,Series C,128184206.0,2021-06-01,349
Moreno Group,Finance,France,Series B,16083786.0,2025-08-26,357
